sid,lpg_primary,lpg_nozzle_types
19548,1.0,"[""ACME"",""QUICK_CONNECT""]"
19557,1.0,"[""ACME"",""QUICK_CONNECT""]"
19559,1.0,"[""ACME"",""QUICK_CONNECT""]"
19560,0.0,"[""ACME"",""QUICK_CONNECT""]"
19566,1.0,"[""ACME"",""QUICK_CONNECT""]"
19568,0.0,"[""QUICK_CONNECT"",""ACME""]"
19570,1.0,"[""QUICK_CONNECT"",""ACME""]"
19572,1.0,"[""ACME"",""QUICK_CONNECT""]"
19575,0.0,"[""QUICK_CONNECT"",""ACME""]"
19576,1.0,"[""ACME"",""QUICK_CONNECT""]"
19579,0.0,"[""ACME"",""QUICK_CONNECT""]"
19580,0.0,"[""QUICK_CONNECT"",""ACME""]"
19581,1.0,"[""QUICK_CONNECT"",""ACME""]"
19588,1.0,"[""QUICK_CONNECT"",""ACME""]"
19589,0.0,"[""ACME"",""QUICK_CONNECT""]"
19600,1.0,"[""QUICK_CONNECT"",""ACME""]"
19602,0.0,"[""QUICK_CONNECT"",""ACME""]"
19606,1.0,"[""QUICK_CONNECT"",""ACME""]"
19609,1.0,"[""ACME"",""QUICK_CONNECT""]"
19627,0.0,"[""ACME"",""QUICK_CONNECT""]"
19630,1.0,"[""ACME"",""QUICK_CONNECT""]"
19642,1.0,"[""ACME"",""QUICK_CONNECT""]"
19643,1.0,"[""ACME"",""QUICK_CONNECT""]"
19644,1.0,"[""ACME"",""QUICK_CONNECT""]"
19646,1.0,"[""ACME"",""QUICK_CONNECT""]"
19647,1.0,"[""ACME"",""QUICK_CONNECT""]"
19651,1.0,"[""ACME"",""QUICK_CONNECT""]"
19652,1.0,"[""ACME"",""QUICK_CONNECT""]"
19654,1.0,"[""ACME"",""QUICK_CONNECT""]"
19656,1.0,"[""ACME"",""QUICK_CONNECT""]"
19662,1.0,"[""ACME"",""QUICK_CONNECT""]"
19667,0.0,"[""ACME"",""QUICK_CONNECT""]"
19668,1.0,"[""ACME"",""QUICK_CONNECT""]"
19669,1.0,"[""ACME"",""QUICK_CONNECT""]"
19670,1.0,"[""ACME"",""QUICK_CONNECT""]"
19671,1.0,"[""ACME"",""QUICK_CONNECT""]"
19678,1.0,"[""QUICK_CONNECT"",""ACME""]"
19679,1.0,"[""ACME"",""QUICK_CONNECT""]"
19682,1.0,"[""ACME"",""QUICK_CONNECT""]"
19683,0.0,"[""ACME"",""QUICK_CONNECT""]"
19685,1.0,"[""ACME"",""QUICK_CONNECT""]"
19686,1.0,"[""ACME"",""QUICK_CONNECT""]"
19687,0.0,"[""ACME"",""QUICK_CONNECT""]"
19693,1.0,"[""QUICK_CONNECT"",""ACME""]"
19694,1.0,"[""ACME"",""QUICK_CONNECT""]"
19696,0.0,"[""ACME""]"
19701,1.0,"[""ACME"",""QUICK_CONNECT""]"
19710,1.0,"[""ACME"",""QUICK_CONNECT""]"
19711,1.0,None
19714,1.0,"[""ACME"",""QUICK_CONNECT""]"
19720,0.0,"[""ACME"",""QUICK_CONNECT""]"
19731,0.0,"[""ACME"",""QUICK_CONNECT""]"
19733,1.0,"[""ACME"",""QUICK_CONNECT""]"
19734,0.0,"[""ACME"",""QUICK_CONNECT""]"
19736,0.0,"[""ACME"",""QUICK_CONNECT""]"
19738,1.0,"[""QUICK_CONNECT"",""ACME""]"
19739,0.0,"[""ACME"",""QUICK_CONNECT""]"
19741,0.0,None
19742,0.0,None
19744,0.0,"[""ACME"",""QUICK_CONNECT""]"
19745,1.0,"[""ACME"",""QUICK_CONNECT""]"
19746,0.0,"[""ACME"",""QUICK_CONNECT""]"
19747,0.0,"[""ACME"",""QUICK_CONNECT""]"
19748,1.0,"[""ACME"",""QUICK_CONNECT""]"
19751,0.0,"[""ACME"",""QUICK_CONNECT""]"
19755,0.0,"[""QUICK_CONNECT"",""ACME""]"
19756,0.0,"[""QUICK_CONNECT"",""ACME""]"
19757,1.0,"[""ACME"",""QUICK_CONNECT""]"
19759,0.0,"[""QUICK_CONNECT"",""ACME""]"
19760,0.0,None
19762,1.0,"[""ACME"",""QUICK_CONNECT""]"
19767,1.0,"[""ACME"",""QUICK_CONNECT""]"
19770,1.0,"[""ACME""]"
19771,1.0,"[""ACME"",""QUICK_CONNECT""]"
19772,0.0,"[""QUICK_CONNECT"",""ACME""]"
19774,1.0,"[""ACME"",""QUICK_CONNECT""]"
19777,0.0,"[""ACME"",""QUICK_CONNECT""]"
