sid,e85_blender_pump,e85_other_ethanol_blends
32904,0.0,
32905,0.0,
32906,1.0,"[""E30-E35""]"
32907,0.0,
32912,0.0,
32917,0.0,
32920,0.0,
32921,1.0,"[""E30-E35""]"
32922,0.0,
32923,0.0,
32925,1.0,"[""E30-E35""]"
32931,0.0,
32951,0.0,
32952,0.0,
32954,0.0,
32956,0.0,
32958,0.0,
32974,0.0,
32975,0.0,
32976,0.0,
32977,0.0,
32979,0.0,
32980,1.0,"[""E15"",""E20-E25""]"
32981,0.0,
32983,0.0,
32984,0.0,
32985,0.0,
32986,0.0,
32987,0.0,
32999,1.0,"[""E15""]"
33001,0.0,
33003,0.0,
33010,0.0,
33012,0.0,
33018,0.0,
33020,0.0,
33025,0.0,
33028,0.0,
33030,1.0,"[""E15""]"
33031,1.0,"[""E15""]"
33041,0.0,
33049,0.0,
33051,0.0,
33067,0.0,
33068,0.0,
33069,1.0,"[""E30-E35""]"
33072,0.0,
33084,0.0,
33085,0.0,
33086,0.0,
33087,0.0,
33088,0.0,
33089,0.0,
33120,0.0,
33121,1.0,"[""E15"",""E30-E35""]"
33150,0.0,
33151,0.0,
33152,0.0,
33157,0.0,
33158,0.0,
33159,0.0,
33161,0.0,
33162,0.0,
33194,0.0,
33196,0.0,
33197,0.0,
33198,0.0,
33199,0.0,
33213,0.0,
33214,0.0,
33219,0.0,
33221,0.0,
33222,1.0,"[""E15""]"
33225,1.0,"[""E15""]"
33232,0.0,
33233,1.0,"[""E15""]"
33234,0.0,
33246,0.0,
33263,1.0,"[""E15"",""E30-E35""]"
33268,1.0,"[""E20-E25"",""E30-E35""]"
33269,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
33271,0.0,
33272,0.0,
33273,0.0,
33277,1.0,"[""E15""]"
33283,0.0,
33284,1.0,"[""E15""]"
33286,0.0,
33292,1.0,"[""E15"",""E30-E35""]"
33296,0.0,
33298,0.0,
33301,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
33302,1.0,"[""E15"",""E30-E35""]"
33325,0.0,
33338,0.0,
33343,0.0,
33344,0.0,
33357,0.0,
33359,0.0,
33374,1.0,"[""E30-E35""]"
33388,0.0,
33397,0.0,
33399,0.0,
33402,0.0,
33403,0.0,
33404,0.0,
33435,0.0,
33442,0.0,
33443,0.0,
33448,0.0,
33449,0.0,
33451,1.0,"[""E15"",""E30-E35""]"
33453,0.0,
33456,1.0,"[""E15"",""E30-E35""]"
33457,1.0,"[""E15""]"
33493,0.0,
33497,0.0,
33501,1.0,"[""E15"",""E30-E35""]"
33503,0.0,
33508,1.0,"[""E15"",""E40-Plus""]"
33509,0.0,
33511,0.0,
33653,0.0,
33654,0.0,
33655,0.0,
33659,0.0,
33660,0.0,
33665,0.0,
33674,0.0,
33676,0.0,
33712,0.0,
33727,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
33735,0.0,
33736,0.0,
33739,0.0,
33740,0.0,
33741,0.0,
33742,0.0,
33744,0.0,
33746,0.0,
33755,0.0,
33768,0.0,
33769,0.0,
33776,0.0,
33777,0.0,
33778,0.0,
33783,0.0,
33784,0.0,
33788,0.0,
33797,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
33799,0.0,
33801,0.0,
33805,0.0,
33807,0.0,
33808,0.0,
33809,0.0,
33811,0.0,
33812,0.0,
33813,1.0,"[""E15""]"
33822,0.0,
33828,0.0,
33829,1.0,"[""E15""]"
33832,1.0,"[""E15""]"
33834,0.0,
33838,1.0,"[""E15"",""E30-E35""]"
33842,1.0,"[""E15"",""E30-E35""]"
33845,0.0,
