sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
48519,,,,,,,HD
48896,4.0,Q,3600,NONE,,24714.0,HD
48901,2.0,Q,3000 3600,NONE,,,HD
48903,2.0,Q,3600,NONE,,,HD
48904,3.0,Q,3600,NONE,1380.0,28125.0,HD
48905,1.0,Q,3000 3600,NONE,,,HD
48906,2.0,Q,3600,,1400.0,,HD
48907,40.0,T,3600,,,,HD
48908,1.0,Q,3600,,,34600.0,HD
48910,2.0,Q,3600,NONE,,,MD
48911,1.0,Q,3600,NONE,,,MD
48913,,Q,3600,,,,HD
48915,1.0,Q,3600,NONE,,,HD
48917,2.0,Q,3600,,1400.0,,HD
49283,2.0,Q,3600,,1400.0,,HD
49284,2.0,Q,3600,,1400.0,,HD
49285,,T,3600,WASTEWATER,,0.0,HD
49286,1.0,Q,3600,NONE,756.0,36000.0,HD
49291,45.0,T,3600,,,,HD
49292,2.0,Q,3600,,1400.0,,HD
49293,2.0,Q,3600,,1400.0,,HD
49294,2.0,Q,3600,NONE,,,HD
49302,1.0,Q,3600,NONE,,,HD
49541,2.0,Q,3600,,,55607.0,HD
49542,4.0,B,3600,,,,HD
49543,2.0,Q,3600,,,30000.0,HD
49544,,B,3600,,,,HD
49545,2.0,Q,3600,,,,HD
49548,,T,3600,,,,HD
49549,,B,3600,,,,HD
49550,2.0,Q,3000 3600,NONE,430.0,,HD
49551,1.0,Q,3000 3600,,404.0,,HD
50036,1.0,Q,3600,,989.0,16064.0,HD
50040,,T,3000,,,,HD
50043,49.0,T,3600,,517.0,0.0,HD
50046,,T,3600,,,,HD
50047,1.0,Q,3600,,,,HD
50048,2.0,Q,3600,NONE,,,HD
50049,2.0,B,3600,LANDFILL,1000.0,,HD
50050,1.0,Q,3600,,,,HD
50051,2.0,Q,3000 3600,NONE,,,MD
50052,2.0,Q,3600,,1750.0,,HD
50053,3.0,Q,3600,,1250.0,,HD
50055,3.0,Q,3600,,1300.0,,HD
50236,,T,3600,,,,HD
50238,,B,3600,,,,HD
50239,,Q,3600,,,,HD
50240,1.0,B,3600,,,,HD
50241,,T,3600,,,,HD
50243,,Q,3600,,,,HD
50245,,T,3600,,,,HD
50248,,T,3600,,,,HD
50250,,Q,3600,,,,HD
50252,,Q,3600,,,,HD
50254,,Q,3600,,,,HD
50257,,B,3600,,,,HD
50258,,T,3600,,,,HD
50259,2.0,B,3600,,75.0,34538.0,HD
50260,,B,3600,,,,HD
50261,4.0,Q,3600,,800.0,,HD
50262,,B,3600,,,,HD
50263,,B,3600,,,,HD
50264,,T,3600,,,,HD
50265,,T,3600,,,,HD
50266,1.0,T,3600,,,,HD
50267,,T,3600,,,,HD
50268,1.0,Q,3600,NONE,1000.0,,HD
50269,,B,3600,,,,HD
50270,,Q,3000 3600,,,,HD
50271,,B,3600,,,,HD
50272,1.0,Q,3600,,75.0,36000.0,HD
50274,2.0,Q,3600,,250.0,,MD
50275,,T,3600,,,,HD
50277,,T,3000 3600,,,,HD
50278,,T,3600,,,,HD
50279,,B,3600,,,,HD
50280,2.0,Q,3600,,2400.0,,HD
50281,,T,3600,,,,HD
50282,2.0,Q,3000 3600,,110.0,,HD
50646,1.0,Q,3600,,680.0,30000.0,HD
50648,4.0,Q,3600,,300.0,40000.0,HD
50649,2.0,Q,3600,,,,HD
51035,2.0,Q,3600,,250.0,,MD
51466,2.0,Q,3600,NONE,500.0,38925.0,HD
51470,3.0,Q,3600,NONE,1600.0,,HD
