sid,hy_is_retail,hy_pressures,hy_standards,hy_status_link
168371,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/plancentia
168372,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/aliso-viejo
168373,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/baldwin-park
168374,1.0,"[""700""]","[""J2601""]",
168375,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/orange-0
168376,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/costa-mesa-bristol-st
168377,1.0,"[""700""]","[""J2601""]",
168378,1.0,"[""700""]","[""J2601""]",
168379,1.0,"[""700""]","[""J2601""]",
168380,1.0,"[""700""]","[""J2601""]",
168382,1.0,"[""700""]","[""J2601""]",
168383,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-bernardino
168384,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/el-cerrito
168385,1.0,"[""700""]","[""J2601""]",
168386,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/buena-park
168387,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/glendale
168388,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/los-gatos
168389,1.0,"[""700""]","[""J2601""]",
168390,1.0,"[""700""]","[""J2601""]",
168391,1.0,"[""700""]","[""J2601""]",
168392,1.0,"[""700""]","[""J2601""]",
168393,1.0,"[""700""]","[""J2601""]",
168394,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/artesia
168395,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/monrovia
168396,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/carlsbad
168398,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/corona
168399,1.0,"[""700""]","[""J2601""]",
168400,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/fontana
168401,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/la-mirada
168402,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/hawaiian-gardens
183687,,,,
183688,,,,
186302,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/folsom
186303,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/Novato
186304,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/pasadena-s-arroyo-parkway
186305,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/santa-rosa
186306,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/sun-valley
186360,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/arcadia
186361,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/camarillo
186362,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/oakland
186363,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/orinda
186364,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/pasadena-n-allen-ave
186365,1.0,"[""700""]","[""J2601""]",http://www.cafcp.com/content/riverside-central-ave
186366,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-dimas
186367,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/tustin
186369,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/ventura
186370,1.0,"[""700""]","[""J2601""]",https://h2fcp.org/content/sacramento
186395,0.0,"[""700""]","[""J2601"",""J2601-2""]",
188026,1.0,"[""700""]","[""J2601-2""]",
193418,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/seal-beach
224713,1.0,"[""700""]","[""J2601""]",
224714,1.0,"[""350"",""700""]","[""J2601""]",
224715,1.0,"[""700""]","[""J2601""]",
238687,1.0,"[""700""]",,
