sid,port
44158,type1
44159,type1
44160,type1
44162,type1
44163,type1
44166,type1
44174,type1
44175,type1
44176,chademo
44176,type1
44176,ccs
44177,type1
44178,type1
44179,type1
44180,chademo
44180,type1
44181,type1
44182,type1
44183,type1
44184,type1
44185,type1
44186,chademo
44186,type1
44186,ccs
44187,type1
44188,type1
44189,type1
44190,chademo
44190,type1
44191,type1
44192,type1
44193,type1
44198,type1
44201,type1
44202,type1
44203,chademo
44203,type1
44203,ccs
44204,type1
44205,type1
44206,type1
44207,type1
44208,type1
44209,type1
44212,chademo
44212,type1
44213,type1
44216,type1
44218,chademo
44218,type1
44218,ccs
44219,type1
44225,type1
44228,type1
44230,type1
44233,type1
44241,type1
44243,type1
44247,type1
44251,type1
44255,type1
44270,type1
44272,type1
44280,chademo
44280,type1
44280,ccs
44282,type1
44283,type1
44284,type1
44285,type1
44286,type1
44287,chademo
44287,type1
44287,ccs
44288,type1
44289,chademo
44289,type1
44289,ccs
44290,type1
44292,type1
44293,type1
44294,type1
44295,type1
44296,type1
44297,type1
44298,type1
44299,type1
44299,ccs
44300,type1
44301,type1
44302,type1
44303,chademo
44303,type1
44303,ccs
44304,type1
44306,type1
44307,type1
44308,type1
44309,chademo
44309,type1
44309,ccs
44310,type1
44311,type1
44312,type1
44313,chademo
44313,type1
44313,ccs
44314,type1
44315,type1
44316,type1
44317,type1
44318,type1
44319,type1
44321,type1
44323,type1
44324,type1
44325,type1
44326,type1
44328,type1
44329,type1
44330,type1
44331,type1
44332,type1
44333,type1
44334,type1
44336,type1
44337,type1
44338,type1
44339,type1
44342,type1
44343,type1
44344,type1
44345,type1
44346,chademo
44346,type1
44347,type1
44348,chademo
44348,type1
44348,ccs
44349,type1
44350,chademo
44350,type1
44351,type1
44352,chademo
44352,type1
44354,type1
44355,type1
44356,type1
44357,type1
44358,type1
44359,type1
44360,chademo
44360,type1
44360,ccs
44361,type1
44362,chademo
44362,type1
44362,ccs
44363,type1
44364,type1
44365,type1
44366,type1
44367,type1
44368,type1
44369,type1
44370,type1
44371,type1
44372,chademo
44372,type1
44373,type1
44374,chademo
44374,type1
44375,type1
44376,type1
44377,type1
44378,type1
44381,type1
44382,type1
44383,type1
44384,type1
44385,type1
44386,type1
44387,type1
44388,type1
44389,type1
44390,type1
44391,type1
44393,type1
44394,type1
44395,type1
44396,type1
44397,type1
44398,type1
44400,type1
44429,type1
44431,type1
44432,type1
44434,type1
44435,chademo
44435,type1
44436,type1
44437,type1
44438,type1
44439,type1
44440,type1
44441,chademo
44441,type1
44442,type1
44443,type1
44444,type1
44447,chademo
44447,type1
44448,type1
44449,type1
44450,chademo
44450,type1
44453,type1
44457,chademo
44457,type1
44457,ccs
44458,type1
44459,chademo
44459,type1
44460,type1
44461,type1
44462,type1
44463,type1
44464,chademo
44464,type1
44465,chademo
44465,type1
44467,type1
44489,type1
44491,type1
44492,type1
44493,type1
44494,type1
44495,type1
44498,type1
44499,type1
44506,type1
44509,type1
44510,type1
44652,type1
44773,type1
44812,type1
44927,type1
44929,type1
44944,type1
45001,type1
45003,type1
45005,type1
45007,type1
45166,type1
45209,type1
45313,type1
45631,type1
45632,type1
45633,type1
45634,type1
45651,type1
45652,type1
45654,type1
45655,type1
45656,type1
45657,chademo
45657,type1
45658,type1
45660,type1
45661,type1
45662,type1
45664,chademo
45664,type1
45666,type1
45667,type1
45668,type1
45669,type1
45670,type1
45672,type1
45673,type1
45674,type1
45675,type1
45676,type1
45678,type1
45680,type1
45681,type1
45682,chademo
45682,type1
45682,ccs
45684,type1
45685,type1
45686,type1
45688,chademo
45688,type1
45688,ccs
45689,type1
45690,type1
45691,type1
45692,chademo
45692,type1
45693,type1
45694,type1
45695,type1
45696,type1
45697,type1
45698,chademo
45698,type1
45698,ccs
45699,type1
45700,chademo
45700,type1
45700,ccs
45701,type1
45702,type1
45703,type1
45704,type1
45705,type1
45708,type1
45709,type1
45710,type1
45711,type1
45712,type1
45713,type1
45714,chademo
45714,type1
45715,type1
45716,type1
45717,type1
45718,type1
45719,type1
45720,type1
45721,type1
45722,type1
45723,type1
45724,chademo
45724,type1
45725,type1
45727,type1
45728,type1
45729,type1
45730,type1
45731,type1
45732,type1
45733,type1
45734,chademo
45734,type1
45735,type1
45736,type1
45738,chademo
45738,type1
45739,type1
45740,type1
45742,type1
45743,type1
45746,type1
45747,type1
45748,chademo
45748,type1
45749,type1
45750,type1
45751,type1
45754,type1
45755,type1
45756,type1
45758,type1
45759,type1
45760,type1
45761,type1
45762,type1
45763,type1
45764,type1
45769,type1
45770,type1
45771,type1
45772,type1
45773,type1
45774,type1
45776,type1
45777,type1
45779,type1
45780,type1
45782,type1
45784,type1
45785,type1
45786,type1
45787,type1
45790,type1
45791,type1
45796,type1
45798,type1
45803,type1
45806,type1
45807,type1
45808,type1
45809,type1
45810,type1
45812,type1
45813,type1
45817,chademo
45817,type1
45817,ccs
45822,type1
45823,type1
45824,type1
45825,type1
45826,type1
45827,type1
45828,type1
45829,type1
45830,type1
45832,type1
45833,type1
45834,type1
45836,type1
45837,type1
45838,type1
45839,type1
45840,type1
45841,type1
45844,type1
45845,type1
45846,type1
45848,chademo
45848,type1
45849,type1
45850,type1
45851,type1
45854,type1
45858,type1
45860,type1
45862,type1
45864,type1
45866,type1
45867,type1
45868,type1
45869,type1
45870,type1
45872,type1
45874,chademo
45874,type1
45874,ccs
45875,type1
45878,chademo
45878,type1
45878,ccs
45879,type1
45880,chademo
45880,type1
45880,ccs
45881,type1
45882,chademo
45882,type1
45886,chademo
45886,type1
45886,ccs
45887,type1
45888,type1
45889,type1
45890,chademo
45890,type1
45890,ccs
45891,type1
45892,chademo
45892,type1
45892,ccs
45893,type1
45894,chademo
45894,type1
45895,type1
45896,chademo
45896,type1
45896,ccs
45897,type1
45898,chademo
45898,type1
45898,ccs
45899,type1
45902,chademo
45902,type1
45903,type1
45904,chademo
45904,type1
45905,type1
45906,chademo
45906,type1
45906,ccs
45907,type1
45908,type1
45909,type1
45910,chademo
45910,type1
45911,type1
45912,chademo
45912,type1
45912,ccs
45913,type1
45924,type1
45926,type1
45930,type1
45932,type1
45933,type1
45934,type1
45935,type1
45937,type1
45938,type1
45939,type1
45941,type1
45943,type1
45945,type1
45946,type1
45947,type1
45948,type1
45949,type1
45950,type1
45951,type1
45952,type1
45955,type1
45956,type1
45959,type1
45960,type1
45962,type1
45964,type1
45965,type1
45968,type1
45970,type1
45971,type1
45972,type1
45973,type1
45975,type1
45980,type1
45981,type1
45982,type1
45984,type1
45985,type1
45986,type1
45988,type1
45990,type1
45991,type1
46094,type1
46136,type1
46291,type1
46311,type1
46369,type1
46378,type1
46396,type1
46407,chademo
46407,type1
46407,ccs
46422,type1
46423,type1
46424,type1
46452,type1
46456,type1
46457,type1
46460,type1
46461,type1
46462,type1
46470,type1
46473,type1
46473,nema520
46482,type1
46483,chademo
46483,type1
46484,type1
46486,type1
46488,type1
46489,type1
46490,type1
46491,type1
46492,type1
46493,type1
46494,type1
46498,type1
46501,type1
46503,type1
46519,type1
46520,chademo
46520,type1
46520,ccs
46521,type1
46522,chademo
46522,type1
46522,ccs
46524,chademo
46524,type1
46524,ccs
46525,type1
46526,chademo
46526,type1
46526,ccs
46527,type1
46528,chademo
46528,type1
46528,ccs
46529,type1
46532,type1
46533,type1
46537,chademo
46537,type1
46537,ccs
46538,type1
46539,type1
46541,type1
46542,type1
46543,chademo
46543,type1
46543,ccs
46544,type1
46545,chademo
46545,type1
46545,ccs
46546,type1
46547,chademo
46547,type1
46548,type1
46549,type1
46550,type1
46551,type1
46553,type1
46555,type1
46556,chademo
46556,type1
46556,ccs
46557,type1
46558,chademo
46558,type1
46559,type1
46560,chademo
46560,type1
46561,type1
46562,type1
46563,type1
46564,type1
46565,type1
46566,type1
46567,type1
46568,chademo
46568,type1
46569,type1
46571,chademo
46571,type1
46571,ccs
46572,type1
46573,type1
46574,type1
46575,type1
46576,type1
46577,chademo
46577,type1
46577,ccs
46578,type1
46579,chademo
46579,type1
46579,ccs
46580,type1
46582,chademo
46582,type1
46583,type1
46584,chademo
46584,type1
46585,type1
46586,chademo
46586,type1
46586,ccs
46587,type1
46588,type1
46590,type1
46591,type1
46594,type1
46595,type1
46596,type1
46597,chademo
46597,type1
46598,type1
46600,type1
46601,chademo
46601,type1
46602,type1
46604,chademo
46604,type1
46605,type1
46606,chademo
46606,type1
46607,type1
46608,chademo
46608,type1
46609,type1
46611,type1
46613,type1
46614,type1
46615,type1
46616,type1
46617,type1
46619,chademo
46619,type1
46620,type1
46621,type1
46622,type1
46623,chademo
46623,type1
46624,type1
46625,type1
46626,type1
46627,type1
46628,type1
46632,chademo
46632,type1
46632,ccs
46633,type1
46634,chademo
46634,type1
46635,type1
46636,type1
46638,type1
46639,type1
46640,type1
46641,type1
46642,type1
46643,type1
46644,type1
46645,chademo
46645,type1
46646,type1
46647,chademo
46647,type1
46648,type1
46649,chademo
46649,type1
46650,type1
46651,type1
46652,type1
46658,type1
46659,type1
46662,chademo
46662,type1
46663,type1
46667,type1
46668,type1
46669,type1
46670,type1
46671,type1
46672,type1
46673,type1
46674,type1
46675,type1
46676,type1
46677,type1
46678,type1
46679,type1
46680,type1
46681,type1
46682,type1
46683,type1
46684,type1
46685,chademo
46685,type1
46686,type1
46688,chademo
46688,type1
46688,ccs
46689,type1
46690,type1
46691,type1
46692,type1
46693,type1
46694,type1
46695,type1
46709,type1
46710,type1
46711,type1
46715,type1
46721,chademo
46721,type1
46722,type1
46723,type1
46724,chademo
46724,type1
46724,ccs
46725,type1
46729,type1
46731,type1
46733,type1
