sid,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
38522,1.0,18.0,9.0,Non-Networked
38523,0.0,0.0,2.0,Non-Networked
38525,0.0,1.0,4.0,Non-Networked
38774,0.0,0.0,2.0,Non-Networked
38778,0.0,0.0,1.0,Non-Networked
38855,0.0,0.0,2.0,Non-Networked
38856,0.0,0.0,3.0,Non-Networked
38857,0.0,0.0,1.0,Non-Networked
38859,0.0,0.0,9.0,Non-Networked
38861,0.0,1.0,1.0,ChargePoint Network
38887,0.0,42.0,2.0,Non-Networked
38952,0.0,0.0,2.0,ChargePoint Network
38959,0.0,0.0,2.0,ChargePoint Network
38966,0.0,0.0,2.0,ChargePoint Network
38976,0.0,0.0,2.0,ChargePoint Network
38978,0.0,0.0,1.0,ChargePoint Network
39006,0.0,0.0,1.0,ChargePoint Network
39016,0.0,0.0,2.0,Non-Networked
39017,0.0,0.0,1.0,Non-Networked
39096,0.0,0.0,2.0,Non-Networked
39114,1.0,0.0,2.0,Non-Networked
39294,0.0,0.0,1.0,Non-Networked
39314,0.0,0.0,1.0,Non-Networked
39414,0.0,0.0,1.0,Non-Networked
39514,0.0,0.0,1.0,Non-Networked
39574,0.0,0.0,4.0,ChargePoint Network
39575,0.0,0.0,5.0,ChargePoint Network
39705,0.0,0.0,1.0,Non-Networked
39707,0.0,0.0,1.0,Non-Networked
39708,0.0,0.0,1.0,Non-Networked
39709,0.0,0.0,2.0,Non-Networked
39710,0.0,0.0,1.0,Non-Networked
39711,1.0,0.0,1.0,Non-Networked
39712,0.0,0.0,1.0,Non-Networked
39713,0.0,0.0,1.0,Non-Networked
39714,2.0,0.0,1.0,Non-Networked
39715,0.0,0.0,1.0,Non-Networked
39717,0.0,0.0,1.0,Non-Networked
39718,1.0,0.0,1.0,Non-Networked
39719,0.0,0.0,1.0,Non-Networked
39720,0.0,0.0,1.0,Non-Networked
39721,0.0,0.0,1.0,Non-Networked
39723,1.0,0.0,1.0,Non-Networked
39724,1.0,0.0,1.0,Non-Networked
39725,0.0,0.0,1.0,Non-Networked
