id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
101,Kia,car,EV6,2021.0,Long Range 2WD,bev,type2,ccs,77.4,18.5
102,Kia,car,Soul,,30 kWh,bev,type2,chademo,30.0,17.6
103,Kia,car,e-Niro,2020.0,64 kWh,bev,type2,ccs,64.0,17.3
104,Kia,car,e-Niro,2018.0,64 kWh,bev,type2,ccs,64.0,17.3
105,Kia,car,e-Niro,2018.0,39 kWh,bev,type2,ccs,39.0,16.3
106,Kia,car,e-Niro,2020.0,39 kWh 11 kW-AC,bev,type2,ccs,39.0,16.3
107,Kia,car,Soul,,27 kWh,bev,type2,chademo,27.0,17.6
108,Kia,car,e-Soul,2020.0,64 kWh 11 kW-AC,bev,type2,ccs,64.0,17.5
109,Kia,car,e-Soul,2019.0,39 kWh,bev,type2,ccs,39.0,17.0
110,Kia,car,e-Soul,2019.0,64 kWh,bev,type2,ccs,64.0,17.5
111,Kia,car,e-Soul,2019.0,39 kWh 11 kW-AC,bev,type2,ccs,39.0,17.0
112,Kia,car,Ceed SW,2020.0,PHEV,phev,type2,,8.9,11.3
113,Kia,car,XCeed,2020.0,PHEV,phev,type2,,8.9,11.3
114,Kia,car,Niro,2020.0,PHEV,phev,type2,,8.9,9.8
115,MAN,car,e TGE,2020.0,,bev,type2,ccs,35.8,30.9
116,MG,car,MG5 EV,2020.0,,bev,type2,ccs,48.8,16.5
117,MG,car,ZS EV,2020.0,,bev,type2,ccs,44.5,19.8
118,Maxus,car,EV80,2018.0,,bev,type2,ccs,56.0,35.0
119,Mazda,car,MX-30,2020.0,,bev,type2,ccs,32.0,17.8
120,Mercedes Benz,car,EQC,2020.0,11 kW-AC,bev,type2,ccs,80.0,21.6
121,Mercedes Benz,car,EQC,2019.0,"7,4 kW-AC",bev,type2,ccs,80.0,21.6
122,Mercedes Benz,car,EQA,2021.0,250,bev,type2,ccs,66.6,17.7
123,Mercedes Benz,car,EQV,2020.0,300 Long ,bev,type2,ccs,90.0,27.3
