sid,bd_blends
155892,"B20 in summer, B5 in winter"
155893,"B20 in summer, B5 in winter"
155894,"B20 in summer, B5 in winter"
155895,"B20 in summer, B5 in winter"
155896,"B20 in summer, B5 in winter"
155897,"B20 in summer, B5 in winter"
155898,"B20 in summer, B5 in winter"
155900,B99
155901,B5-B99
155902,"B20 in summer, B5 in winter"
155903,B5-B100
155904,"B20 in summer, B5 in winter"
155906,"B20 in summer, B5 in winter"
155907,"B20 in summer, B5 in winter"
164402,"B20 in summer, B5 in winter"
164652,B20
165526,B20
170763,B20
183608,B20
183611,B20
185103,B20
185104,B20
185105,B20
185107,B20
186923,"B20 in summer, B5 in winter"
186924,"B20 in summer, B5 in winter"
186926,"B20 in summer, B5 in winter"
186927,"B20 in summer, B5 in winter"
186928,"B20 in summer, B5 in winter"
186929,"B20 in summer, B5 in winter"
186930,"B20 in summer, B5 in winter"
186931,"B20 in summer, B5 in winter"
186932,"B20 in summer, B5 in winter"
186933,"B20 in summer, B5 in winter"
186934,"B20 in summer, B5 in winter"
186935,"B20 in summer, B5 in winter"
187212,B20
187425,B20
187426,B20
187427,B20
187428,B20
187429,B20
187430,B20
187431,B20
187432,B20
187433,B20
187434,B20
187436,B20
187437,B20
187438,B20
187439,B20
187440,B20
187441,B20
187442,B20
187443,B20
187444,B20
187445,B20
187446,B20
187447,B20
187448,B20
187449,B20
187451,B20
187452,B20
187453,B20
187454,B20
187455,B20
187456,B20
187457,B20
187458,B20
187459,B20
187460,B20
187461,B20
187462,B20
187463,B20
187464,B20
187465,B20
190032,b20
190033,B20
190034,B20
190035,B20
190036,B20
190037,B20
193013,B20
193014,B20
193015,B20
193031,B20
193032,B20
193033,B20
193034,B20
193035,B20
193036,B20
193037,B20
193038,B20
193039,B20
193040,B20
193041,B20
193042,B20
196413,B20
196414,B20
196415,B20
196416,B20
196603,B20
196605,B20
196606,B20
196607,B20
196608,B20
196609,B20
196610,B20
196611,B20
196612,B20
196613,B20
196614,B20
196615,B20
202987,"B20 in summer, B5 in winter"
203038,"B20 in summer, B5 in winter"
203379,"B20 in summer, B5 in winter"
203392,"B20 in summer, B5 in winter"
203398,"B20 in summer, B5 in winter"
203412,"B20 in summer, B5 in winter"
203431,"B20 in summer, B5 in winter"
203806,"B20 in summer, B5 in winter"
203807,"B20 in summer, B5 in winter"
203808,"B20 in summer, B5 in winter"
203809,"B20 in summer, B5 in winter"
203810,"B20 in summer, B5 in winter"
203811,"B20 in summer, B5 in winter"
203812,"B20 in summer, B5 in winter"
203813,"B20 in summer, B5 in winter"
203814,"B20 in summer, B5 in winter"
203815,"B20 in summer, B5 in winter"
203816,"B20 in summer, B5 in winter"
