sid,bd_blends
204274,"B20 in summer, B5 in winter"
204275,"B20 in summer, B5 in winter"
204276,"B20 in summer, B5 in winter"
204277,"B20 in summer, B5 in winter"
204278,"B20 in summer, B5 in winter"
204279,"B20 in summer, B5 in winter"
204280,"B20 in summer, B5 in winter"
204282,"B20 in summer, B5 in winter"
204283,"B20 in summer, B5 in winter"
204284,"B20 in summer, B5 in winter"
204285,"B20 in summer, B5 in winter"
204286,"B20 in summer, B5 in winter"
204287,"B20 in summer, B5 in winter"
204288,"B20 in summer, B5 in winter"
204289,"B20 in summer, B5 in winter"
204290,"B20 in summer, B5 in winter"
204323,B20-B99
204327,B20
204328,B20
211808,B100
212193,"B20 in summer, B11 in winter"
213112,"B20 in summer, B5 in winter"
213113,"B20 in summer, B5 in winter"
213114,"B20 in summer, B5 in winter"
213115,"B20 in summer, B5 in winter"
213116,"B20 in summer, B5 in winter"
213128,"B20 in summer, B5 in winter"
213129,"B20 in summer, B5 in winter"
213130,"B20 in summer, B5 in winter"
213131,"B20 in summer, B5 in winter"
213229,B20
213230,"B20 in summer, B5 in winter"
213231,"B20 in summer, B5 in winter"
213232,"B20 in summer, B5 in winter"
213233,"B20 in summer, B5 in winter"
213236,"B20 in summer, B5 in winter"
213237,B20
213238,B20
213240,"B20 in summer, B5 in winter"
213241,B20
213243,B20
213246,"B20 in summer, B5 in winter"
213250,B20
213251,B20
213252,B20
213253,B20
213255,B20
213256,B20
213257,B20
213258,B20
213264,B20
213271,B20
213272,B20
213273,B20
213274,B20
213275,B20
213276,B20
213277,B20
213278,B20
213279,B20
213280,B20
213281,B20
213282,B20
213283,B20
213284,"B20 in summer, B5 in winter"
213285,B20
213286,B20
213287,B20
213288,B20
213289,B20
213290,B20
213291,B20
213292,B20
213293,B20
213294,B20
213295,B20
213296,B20
213297,B20
213298,B20
213299,"B20 in summer, B5 in winter"
213300,B20
213301,B20
213302,B20
213303,B20
213304,B20
213305,B20
213306,B20
213307,B20
213308,B20
213309,B20
213310,B20
213311,B20
213608,"B20 in summer, B5 in winter"
213609,"B20 in summer, B5 in winter"
213610,"B20 in summer, B5 in winter"
213611,"B20 in summer, B5 in winter"
213612,"B20 in summer, B5 in winter"
213613,"B20 in the summer, B5 in the winter"
213614,"B20 in the summer, B5 in the winter"
213615,"B20 in summer, B5 in winter"
213616,"B20 in summer, B5 in winter"
213617,"B20 in summer, B5 in winter"
213618,"B20 in summer, B5 in winter"
213619,"B20 in summer, B5 in winter"
213620,"B20 in summer, B5 in winter"
213621,"B20 in summer, B5 in winter"
213622,"B20 in summer, B5 in winter"
213623,"B20 in summer, B5 in winter"
213624,"B20 in summer, B5 in winter"
213625,"B20 in summer, B5 in winter"
213626,"B20 in summer, B5 in winter"
213627,"B20 in summer, B5 in winter"
213628,"B20 in summer, B5 in winter"
213629,"B20 in summer, B5 in winter"
213630,"B20 in summer, B5 in winter"
213631,"B20 in summer, B5 in winter"
213632,"B20 in summer, B5 in winter"
213633,"B20 in summer, B5 in winter"
213634,"B20 in summer, B5 in winter"
213635,"B20 in summer, B5 in winter"
213636,"B20 in summer, B5 in winter"
213637,"B20 in summer, B5 in winter"
213638,"B20 in summer, B5 in winter"
213639,"B20 in summer, B5 in winter"
213640,"B20 in summer, B5 in winter"
213641,"B20 in summer, B5 in winter"
213642,"B20 in summer, B5 in winter"
213643,"B20 in summer, B5 in winter"
213644,"B20 in summer, B5 in winter"
213645,"B20 in summer, B5 in winter"
213646,"B20 in summer, B5 in winter"
213647,"B20 in summer, B5 in winter"
213648,"B20 in summer, B5 in winter"
213649,"B20 in summer, B5 in winter"
213650,"B20 in summer, B5 in winter"
213651,"B20 in summer, B5 in winter"
213863,B20
222020,B20
222023,B20
223615,B20
223675,B20
225465,B99
225632,B20
225635,B20
225637,B20
236555,B20
237797,B99
237798,B99
237799,B99
240843,B20
240919,B20
240920,B20
240921,B20
240927,B20
250460,B20-B11
251082,B20
251083,B20
251084,B20
251085,B20
251086,B20
251087,B20
251088,B20
251089,B20
251090,B20
253294,20
253405,B20
255650,B20
