sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
26314,2.0,Q,3000 3600,NONE,350.0,None,HD
26554,1.0,Q,3000 3600,NONE,None,None,HD
26654,1.0,Q,3000 3600,NONE,None,None,MD
26655,2.0,Q,3000 3600,NONE,500.0,None,MD
26821,4.0,Q,3000 3600,None,1680.0,134.0,HD
26830,None,Q,None,None,None,None,HD
27026,1.0,Q,3600,NONE,2800.0,None,MD
27301,None,T,3600,None,None,None,MD
27653,1.0,Q,3600,NONE,None,None,MD
27971,0.0,Q,3600,NONE,None,None,HD
27973,1.0,Q,3000 3600,None,600.0,None,HD
27975,1.0,Q,3000 3600,None,2000.0,None,MD
27977,1.0,B,3000 3600,None,1400.0,None,HD
27979,2.0,Q,3600,NONE,None,None,HD
27981,2.0,Q,3000 3600,NONE,None,None,HD
28133,1.0,Q,3600,None,741.0,207598.0,HD
28177,2.0,Q,3000,NONE,None,None,HD
28523,2.0,Q,3600,NONE,None,None,HD
28623,None,Q,3000 3600,None,164.0,None,HD
29168,2.0,Q,3000 3600,NONE,None,None,HD
30355,1.0,Q,3600,None,300.0,37000.0,MD
30618,1.0,Q,3000 3600,NONE,350.0,None,MD
30619,1.0,Q,3600,NONE,700.0,None,HD
30622,1.0,Q,3600,None,1000.0,7380.0,HD
30623,2.0,B,3000 3600,None,1890.0,None,HD
30624,None,Q,3000 3600,None,None,None,HD
30626,2.0,Q,3000 3600,NONE,None,None,HD
30628,1.0,B,3000 3600,NONE,None,None,HD
30629,1.0,Q,3000 3600,NONE,None,None,HD
30630,1.0,Q,3000 3600,NONE,450.0,None,HD
30631,None,Q,3600,None,None,None,HD
30832,1.0,Q,3000 3600,NONE,100.0,None,HD
30833,1.0,Q,3000 3600,NONE,5700.0,None,HD
30836,4.0,B,3600,None,None,12357.0,HD
31316,None,Q,3600,None,560.0,36000.0,HD
31317,None,Q,3600,None,800.0,36000.0,HD
31318,None,Q,3600,None,190.0,36000.0,HD
31839,3.0,Q,3600,None,500.0,400.0,HD
32056,None,B,3600,None,None,None,HD
32059,None,B,3600,None,None,None,HD
32062,None,Q,3000,None,None,None,HD
32154,2.0,Q,3600,None,1000.0,None,HD
32422,2.0,Q,3000 3600,NONE,1600.0,None,MD
32513,2.0,Q,3000 3600,None,1950.0,60000.0,HD
32514,None,Q,3000 3600,None,400.0,None,HD
32572,None,B,3000 3600,None,415.0,None,MD
32669,1.0,Q,3600,NONE,None,None,HD
32670,1.0,B,3600,None,250.0,33000.0,MD
32671,1.0,Q,3600,None,180.0,None,HD
32828,4.0,Q,3600,None,None,None,HD
32831,2.0,Q,3600,None,1300.0,74000.0,HD
32837,None,Q,3000,None,None,None,MD
32838,None,Q,3600,None,6600.0,None,MD
32839,None,Q,3000,None,5400.0,None,HD
32840,3.0,Q,3600,None,4400.0,None,HD
33117,None,B,3600,None,None,None,HD
33144,1.0,Q,3600,None,50.0,44.0,HD
33204,1.0,Q,3600,NONE,None,None,HD
33205,2.0,Q,3000,NONE,None,None,HD
33315,None,Q,3000 3600,None,None,None,HD
33316,None,Q,3000 3600,None,None,None,HD
33323,1.0,Q,3000 3600,NONE,None,None,MD
33387,4.0,Q,3600,NONE,610.0,250000.0,HD
33425,4.0,Q,3600,None,370.0,22242.0,HD
33428,2.0,Q,3000 3600,None,None,None,MD
33533,1.0,Q,3000 3600,NONE,900.0,None,HD
33534,None,B,3600,None,None,None,MD
33536,None,Q,3600,None,None,None,MD
33538,None,Q,3000,None,5000.0,None,HD
33650,None,None,None,None,None,None,HD
33716,2.0,Q,3600,NONE,None,None,HD
33898,2.0,Q,3000 3600,NONE,None,None,MD
33899,2.0,Q,3000 3600,NONE,None,None,HD
34206,2.0,Q,3000 3600,None,None,None,HD
34243,None,B,3000 3600,None,None,None,HD
34315,4.0,Q,3600,NONE,700.0,10000.0,HD
34317,None,Q,3600,None,525.0,None,MD
34320,4.0,Q,3600,None,None,None,HD
34364,4.0,Q,3600,None,None,None,MD
34365,2.0,Q,3600,None,None,None,HD
34474,1.0,Q,3600,NONE,1000.0,None,LD
34475,1.0,Q,3000 3600,NONE,726.0,None,HD
34478,2.0,Q,3600,NONE,2600.0,None,HD
34480,None,Q,3600,None,None,None,HD
34831,None,Q,3600,None,None,None,LD
34832,1.0,Q,3600,None,None,None,HD
35055,2.0,Q,3600,None,475.0,None,HD
35056,1.0,Q,3000,NONE,None,None,HD
35058,None,T,3000,None,None,None,LD
35060,None,Q,3600,NONE,None,None,HD
35062,None,B,3600,NONE,None,None,HD
35063,None,Q,3600,NONE,None,None,HD
35064,None,Q,3000 3600,NONE,None,None,HD
35065,None,B,3000,None,None,None,HD
35066,None,Q,3600,None,None,None,HD
35067,2.0,B,3000 3600,None,None,None,MD
35069,2.0,Q,3600,None,None,None,HD
35070,None,Q,3600,None,None,None,HD
35072,None,T,3000,None,None,None,HD
35073,1.0,Q,3600,NONE,None,None,HD
35075,2.0,Q,3600,None,None,None,HD
35077,None,Q,3600,None,None,None,HD
35131,1.0,Q,3000 3600,NONE,None,None,HD
35135,None,Q,3600,None,4000.0,None,HD
35221,None,Q,3600,None,None,None,HD
35222,None,T,3600,None,None,None,HD
35227,None,T,3000,None,None,None,HD
35301,None,Q,3600,None,18.0,None,HD
35304,None,Q,3000 3600,None,None,None,HD
35307,None,None,3000,None,None,None,HD
35309,2.0,Q,3000 3600,None,1000.0,None,HD
35316,2.0,Q,3000 3600,NONE,None,None,MD
35317,2.0,Q,3600,NONE,1200.0,56000.0,HD
35318,1.0,Q,3600,NONE,None,None,MD
35321,None,None,None,None,None,None,HD
35385,2.0,Q,3600,NONE,30.0,None,HD
35418,2.0,Q,3600,None,None,None,HD
35419,4.0,Q,3000 3600,None,None,None,HD
35495,1.0,T,3000,None,None,None,LD
35593,4.0,Q,3600,None,1300.0,None,HD
35597,None,Q,3600,None,None,None,HD
35598,2.0,Q,3600,NONE,308.0,205.0,HD
35656,1.0,Q,3000 3600,NONE,None,None,MD
35685,4.0,Q,3000 3600,NONE,None,None,MD
35699,2.0,Q,3000 3600,None,None,None,HD
35786,1.0,Q,3600,NONE,None,None,MD
35787,2.0,Q,3000 3600,NONE,None,None,HD
35790,None,Q,3600,None,None,None,MD
35791,None,Q,3600,None,None,None,HD
35907,4.0,Q,3000 3600,NONE,None,None,HD
35936,1.0,Q,3000 3600,NONE,None,None,HD
35942,1.0,Q,3600,None,760.0,31664.0,HD
36268,2.0,Q,3600,None,None,None,HD
36289,None,B,3600,NONE,988.0,8649.0,HD
36292,1.0,Q,3000 3600,NONE,None,None,MD
36294,1.0,Q,3600,NONE,2.0,None,HD
36295,1.0,Q,3600,NONE,2.0,None,HD
36296,2.0,Q,3600,NONE,1500.0,100.0,LD
36299,None,Q,3600,None,None,None,MD
36304,2.0,Q,3600,LANDFILL,None,None,HD
36308,None,Q,3000 3600,None,None,None,HD
36309,4.0,Q,3000 3600,NONE,1000.0,None,HD
36310,2.0,Q,3000 3600,NONE,1000.0,None,MD
36311,1.0,Q,3600,None,1200.0,None,HD
36312,2.0,Q,3600,NONE,None,None,HD
36497,1.0,Q,3000,None,None,None,MD
36549,2.0,Q,3600,None,None,None,HD
36561,None,B,3600,None,None,None,HD
36564,None,Q,3600,None,None,None,HD
36568,1.0,Q,3000 3600,None,None,None,HD
36573,None,Q,3600,None,None,None,HD
36578,None,Q,3600,None,None,None,MD
36580,1.0,Q,3000 3600,NONE,726.0,None,HD
36581,1.0,Q,3600,None,62.0,74142.0,HD
36582,1.0,Q,3600,None,190.0,None,MD
36583,None,Q,3600,None,None,None,HD
36584,1.0,Q,3600,None,452.0,None,HD
36586,1.0,Q,3600,None,250.0,69426.0,HD
36587,1.0,Q,3600,NONE,257.0,None,MD
36588,1.0,Q,3600,None,257.0,None,MD
36589,1.0,Q,3600,None,150.0,None,MD
36591,2.0,Q,3600,NONE,500.0,130000.0,HD
36592,2.0,Q,3600,NONE,257.0,None,HD
36593,1.0,Q,3000 3600,None,None,None,MD
36622,1.0,Q,3000 3600,NONE,None,None,MD
36773,2.0,Q,3600,None,None,None,HD
36774,None,B,3600,NONE,None,None,HD
36775,1.0,Q,3600,WASTEWATER,136.0,34105.0,HD
36776,2.0,Q,3600,None,None,None,HD
36777,1.0,Q,3600,None,110.0,None,HD
36778,1.0,Q,3000,NONE,None,None,HD
36779,1.0,Q,3600,None,None,None,MD
37116,None,Q,3000,None,None,None,MD
37120,1.0,Q,3000 3600,NONE,None,None,MD
37121,1.0,Q,3000 3600,NONE,None,None,MD
37124,None,Q,3000,None,None,None,MD
37125,None,Q,3000,None,None,None,MD
37702,None,B,3600,None,None,None,MD
38055,1.0,Q,3600,None,None,None,HD
38058,None,Q,None,None,None,None,HD
38060,1.0,Q,3600,None,634.0,None,HD
38375,None,T,3600,None,None,None,HD
38484,1.0,Q,3600,None,None,None,HD
38486,None,Q,3600,None,400.0,None,MD
38487,1.0,Q,3000 3600,NONE,None,None,HD
38489,None,Q,3000 3600,None,722.0,None,HD
38491,None,None,None,None,None,None,HD
38654,3.0,Q,3600,NONE,500.0,None,HD
39060,2.0,Q,3600,None,None,None,HD
39188,None,T,3600,None,None,None,HD
39191,3.0,Q,3600,NONE,None,None,HD
39193,1.0,Q,3600,None,None,None,HD
39196,1.0,Q,3000 3600,NONE,None,None,HD
39197,None,T,3600,None,None,None,HD
39601,None,T,3600,None,None,None,HD
39655,2.0,B,3600,None,100.0,49311.0,HD
40081,1.0,Q,3600,None,None,None,HD
40319,2.0,Q,3000 3600,NONE,400.0,None,HD
40323,2.0,Q,3000 3600,NONE,None,None,MD
40851,1.0,Q,3600,NONE,None,None,HD
40874,None,B,3600,None,None,None,MD
40876,2.0,B,3600,None,None,None,HD
40878,4.0,Q,3600,None,300.0,40000.0,HD
41169,None,T,3600,None,None,None,HD
41170,None,B,3600,None,None,None,HD
41171,2.0,Q,3600,NONE,None,None,HD
41175,None,Q,3600,None,None,None,HD
41356,2.0,Q,3600,None,300.0,37000.0,HD
41449,3.0,Q,3600,None,275.0,33400.0,HD
41450,3.0,Q,3600,None,275.0,33400.0,HD
41672,1.0,Q,3000 3600,NONE,None,None,MD
41675,1.0,Q,3600,None,None,None,HD
41677,None,T,3600,None,None,None,HD
41678,1.0,Q,3000 3600,NONE,None,None,HD
41679,1.0,Q,3000 3600,None,1076.0,None,MD
41680,2.0,B,3600,LANDFILL,None,None,HD
41685,3.0,Q,3600,None,None,None,HD
41976,None,B,3600,None,None,None,HD
42089,2.0,Q,3600,None,None,None,MD
42090,2.0,Q,3600,NONE,None,None,HD
42091,2.0,Q,3600,LANDFILL,1000.0,None,HD
42092,2.0,B,3000 3600,None,440.0,72000.0,MD
42093,2.0,Q,3600,None,800.0,57500.0,HD
42094,1.0,Q,3600,None,None,None,HD
42309,None,B,3600,None,None,None,HD
42473,1.0,Q,3000 3600,NONE,None,None,HD
42581,None,T,3600,None,None,None,HD
42582,4.0,T,3600,None,None,None,HD
42584,3.0,Q,3600,None,350.0,None,HD
42585,2.0,Q,3000 3600,NONE,None,None,HD
42586,1.0,Q,3600,None,None,None,HD
42590,1.0,Q,3600,NONE,112.0,51000.0,HD
42591,1.0,Q,3600,NONE,257.0,None,HD
42592,2.0,Q,3600,NONE,322.0,None,MD
42593,1.0,Q,3600,None,None,None,MD
42594,1.0,Q,3600,NONE,322.0,None,HD
42595,3.0,Q,3600,None,300.0,None,MD
42600,2.0,Q,3000 3600,NONE,None,None,HD
42607,1.0,B,3000 3600,None,400.0,30000.0,HD
42609,2.0,Q,3600,None,None,None,HD
43071,2.0,Q,3600,None,None,None,HD
43353,2.0,Q,3600,NONE,540.0,66728.0,HD
43525,2.0,Q,3600,None,958.0,36000.0,HD
43625,None,T,3600,None,None,None,HD
43630,2.0,Q,3600,None,None,None,HD
43633,2.0,Q,3600,None,None,None,HD
43651,4.0,B,3000 3600,None,None,None,HD
43670,2.0,Q,3600,None,None,None,HD
43686,2.0,Q,3600,None,None,None,HD
43699,4.0,Q,3600,None,1500.0,None,HD
43705,4.0,Q,3600,None,600.0,60000.0,HD
43708,None,B,3600,None,None,None,HD
43713,2.0,Q,3600,None,None,None,HD
43723,2.0,Q,3600,None,None,None,HD
44134,None,B,3600,None,None,None,HD
44591,3.0,Q,3600,None,1400.0,None,HD
44752,2.0,Q,3600,None,None,None,HD
44772,None,T,3000 3600,None,None,None,HD
44848,4.0,Q,3600,None,1400.0,None,HD
44851,2.0,Q,3600,None,1400.0,None,HD
45412,48.0,B,3600,None,None,None,HD
45572,2.0,Q,3600,None,None,None,HD
46011,1.0,Q,3600,None,450.0,25950.0,MD
46139,1.0,Q,3000,None,None,None,HD
46151,None,Q,3600,None,None,None,LD
46193,1.0,Q,3600,None,None,None,MD
46194,1.0,Q,3600,None,None,None,MD
46195,1.0,Q,3600,None,None,None,HD
46198,1.0,Q,3600,None,None,None,MD
46338,2.0,Q,3600,None,882.0,36000.0,HD
46341,None,Q,3600,NONE,None,None,MD
46342,None,B,3600,None,None,None,HD
46343,None,B,3600,None,None,None,HD
46344,None,Q,3600,None,28.0,None,HD
46345,1.0,Q,3600,None,400.0,None,HD
46346,1.0,Q,3600,None,400.0,None,HD
46975,None,Q,3600,None,None,None,HD
46977,None,Q,3600,None,None,None,HD
47234,2.0,Q,3600,None,None,None,HD
47236,3.0,Q,3600,NONE,None,None,HD
47238,2.0,Q,3600,None,958.0,36000.0,MD
47273,2.0,Q,3600,None,None,None,HD
47276,3.0,Q,3600,LIVESTOCK,1500.0,37500.0,HD
47279,1.0,Q,3600,None,250.0,35952.0,HD
47282,2.0,Q,3600,NONE,None,None,HD
47284,None,T,3600,None,None,None,HD
47287,None,T,3600,NONE,None,None,HD
47288,2.0,Q,3600,LANDFILL,1000.0,None,HD
47291,1.0,Q,3600,None,None,None,HD
47292,1.0,Q,3600,None,None,None,MD
47293,2.0,Q,3600,None,350.0,None,HD
47295,1.0,Q,3600,None,116.0,60000.0,HD
47301,4.0,Q,3600,None,None,None,HD
47302,1.0,Q,3600,NONE,None,1000.0,LD
47463,2.0,Q,3600,NONE,None,None,HD
47992,2.0,Q,3600,None,None,None,HD
47993,None,B,3600,None,None,None,HD
47994,2.0,Q,3600,None,None,None,HD
47996,2.0,Q,3600,None,None,None,HD
47997,None,B,3600,None,None,None,HD
48004,2.0,Q,3600,None,630.0,900.0,HD
48005,1.0,Q,3600,None,116.0,72000.0,HD
48007,1.0,Q,3600,None,116.0,108000.0,HD
48010,4.0,B,3600,None,None,None,HD
48011,None,T,3000 3600,None,None,None,HD
48012,2.0,Q,3600,None,None,None,HD
