sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
173566,type1,None,None,1.0,ChargePoint Network
173567,type1,None,None,1.0,ChargePoint Network
173568,type1,None,None,1.0,ChargePoint Network
173569,type1,None,None,1.0,ChargePoint Network
173571,type1,None,None,2.0,ChargePoint Network
173572,type1,None,None,2.0,ChargePoint Network
173574,type1,None,None,2.0,ChargePoint Network
173576,type1,None,None,2.0,ChargePoint Network
173577,type1,None,None,2.0,ChargePoint Network
173580,type1,None,None,2.0,ChargePoint Network
173582,type1,None,None,2.0,ChargePoint Network
173583,type1,None,None,1.0,ChargePoint Network
173584,type1,None,None,1.0,ChargePoint Network
173586,ccs,1.0,None,None,ChargePoint Network
173589,type1,None,None,2.0,ChargePoint Network
173593,type1,None,None,1.0,ChargePoint Network
173594,ccs,1.0,None,None,ChargePoint Network
173595,type1,None,None,2.0,ChargePoint Network
173596,type1,None,None,2.0,ChargePoint Network
173598,type1,None,None,2.0,ChargePoint Network
173605,type1,None,None,1.0,ChargePoint Network
173606,type1,None,None,1.0,ChargePoint Network
173607,type1,None,None,2.0,ChargePoint Network
173609,type1,None,None,2.0,ChargePoint Network
173610,type1,None,None,2.0,ChargePoint Network
173611,type1,None,None,2.0,ChargePoint Network
173612,type1,None,None,2.0,ChargePoint Network
173613,type1,None,None,2.0,ChargePoint Network
173614,type1,None,None,1.0,ChargePoint Network
173615,type1,None,None,2.0,ChargePoint Network
173616,type1,None,None,2.0,ChargePoint Network
173619,type1,None,None,2.0,ChargePoint Network
173620,type1,None,None,1.0,ChargePoint Network
173627,type1,None,None,2.0,ChargePoint Network
173628,type1,None,None,2.0,ChargePoint Network
173629,type1,None,None,1.0,ChargePoint Network
173630,type1,None,None,2.0,ChargePoint Network
173631,type1,None,None,2.0,ChargePoint Network
173632,type1,None,None,2.0,ChargePoint Network
173633,type1,None,None,2.0,ChargePoint Network
173634,type1,None,None,2.0,ChargePoint Network
173640,type1,None,None,2.0,ChargePoint Network
173641,type1,None,None,2.0,ChargePoint Network
173643,type1,None,None,1.0,ChargePoint Network
173644,type1,None,None,2.0,ChargePoint Network
173645,type1,None,None,2.0,ChargePoint Network
173646,type1,None,None,2.0,ChargePoint Network
173647,type1,None,None,1.0,ChargePoint Network
173648,type1,None,None,1.0,ChargePoint Network
173649,type1,None,None,1.0,ChargePoint Network
173651,type1,None,None,2.0,ChargePoint Network
173653,type1,None,None,1.0,ChargePoint Network
173654,type1,None,None,2.0,ChargePoint Network
173655,chademo,1.0,None,None,ChargePoint Network
173655,ccs,1.0,None,None,ChargePoint Network
173656,chademo,1.0,None,None,ChargePoint Network
173656,ccs,1.0,None,None,ChargePoint Network
173657,chademo,1.0,None,None,ChargePoint Network
173657,ccs,1.0,None,None,ChargePoint Network
173658,type1,None,None,2.0,ChargePoint Network
173659,type1,None,None,1.0,ChargePoint Network
173660,type1,None,None,1.0,ChargePoint Network
173661,type1,None,None,2.0,ChargePoint Network
173662,type1,None,None,2.0,ChargePoint Network
173663,type1,None,None,2.0,ChargePoint Network
173664,type1,None,None,2.0,ChargePoint Network
173676,type1,None,None,2.0,ChargePoint Network
173677,type1,None,None,2.0,ChargePoint Network
173678,type1,None,None,2.0,ChargePoint Network
173680,type1,None,None,1.0,ChargePoint Network
173692,type1,None,None,1.0,ChargePoint Network
173693,type1,None,None,2.0,ChargePoint Network
173694,type1,None,None,1.0,ChargePoint Network
173695,type1,None,None,1.0,ChargePoint Network
173696,type1,None,None,1.0,ChargePoint Network
173698,type1,None,None,2.0,ChargePoint Network
173699,type1,None,None,2.0,ChargePoint Network
173700,type1,None,None,2.0,ChargePoint Network
173701,type1,None,None,1.0,ChargePoint Network
173702,type1,None,None,1.0,ChargePoint Network
173703,type1,None,None,1.0,ChargePoint Network
173704,type1,None,None,1.0,ChargePoint Network
173705,type1,None,None,2.0,ChargePoint Network
173706,type1,None,None,1.0,ChargePoint Network
173708,type1,None,None,2.0,ChargePoint Network
173711,type1,None,None,1.0,ChargePoint Network
173712,type1,None,None,2.0,ChargePoint Network
173713,type1,None,None,2.0,ChargePoint Network
173714,type1,None,None,2.0,ChargePoint Network
173715,type1,None,None,2.0,ChargePoint Network
173716,type1,None,None,2.0,ChargePoint Network
173717,chademo,1.0,None,None,ChargePoint Network
173717,ccs,1.0,None,None,ChargePoint Network
173718,type1,None,None,2.0,ChargePoint Network
173719,type1,None,None,2.0,ChargePoint Network
173720,type1,None,None,2.0,ChargePoint Network
173723,type1,None,None,2.0,ChargePoint Network
173724,type1,None,None,2.0,ChargePoint Network
173725,type1,None,None,2.0,ChargePoint Network
173727,type1,None,None,1.0,ChargePoint Network
173728,type1,None,None,1.0,ChargePoint Network
173729,type1,None,None,1.0,ChargePoint Network
173730,type1,None,None,2.0,ChargePoint Network
173731,type1,None,None,2.0,ChargePoint Network
173732,type1,None,None,2.0,ChargePoint Network
173733,type1,None,None,1.0,ChargePoint Network
173734,type1,None,None,1.0,ChargePoint Network
173737,type1,None,None,1.0,ChargePoint Network
173738,type1,None,None,2.0,ChargePoint Network
173739,type1,None,None,2.0,ChargePoint Network
173740,chademo,1.0,None,None,ChargePoint Network
173740,ccs,1.0,None,None,ChargePoint Network
173741,type1,None,None,1.0,ChargePoint Network
173743,type1,None,None,2.0,ChargePoint Network
173745,type1,None,None,1.0,ChargePoint Network
173746,type1,None,None,1.0,ChargePoint Network
173747,type1,None,None,1.0,ChargePoint Network
173748,type1,None,None,1.0,ChargePoint Network
173749,type1,None,None,2.0,ChargePoint Network
173752,type1,None,None,1.0,ChargePoint Network
173755,type1,None,None,1.0,ChargePoint Network
173756,type1,None,None,1.0,ChargePoint Network
173758,type1,None,None,2.0,ChargePoint Network
173762,type1,None,None,2.0,ChargePoint Network
173763,type1,None,None,2.0,ChargePoint Network
173764,type1,None,None,2.0,ChargePoint Network
173765,type1,None,None,2.0,ChargePoint Network
173766,type1,None,None,2.0,ChargePoint Network
173767,type1,None,None,1.0,ChargePoint Network
173768,type1,None,None,1.0,ChargePoint Network
173777,type1,None,None,2.0,ChargePoint Network
173778,type1,None,None,2.0,ChargePoint Network
173779,type1,None,None,1.0,ChargePoint Network
173780,type1,None,None,2.0,ChargePoint Network
173781,type1,None,None,2.0,ChargePoint Network
173782,type1,None,None,1.0,ChargePoint Network
173783,type1,None,None,2.0,ChargePoint Network
