id,brand,vehicle_type,model,release_year,variant,type,usable_battery_size,energy_consumption
84f2fcc1-cc73-4919-8d76-0f1ba8eaf685,Kia,car,XCeed,2020.0,PHEV,phev,8.9,11.3
a883bb35-270d-4f31-9169-ccf06ae3c0c5,Kia,car,Niro,2020.0,PHEV,phev,8.9,9.8
e7717ac1-90fa-4bea-9272-52afc10facc4,MAN,car,e TGE,2020.0,,bev,35.8,30.9
c1fda7bf-9307-03c9-86c1-0350de0994cb,MG,car,MG5 EV,2020.0,,bev,48.8,16.5
8b0195b6-5318-46d9-a6fd-1b5f75e8b495,MG,car,ZS EV,2020.0,,bev,44.5,19.8
2ae110f8-8906-4b03-b4bc-83e5577c1cc1,Maxus,car,EV80,2018.0,,bev,56.0,35.0
176af738-f385-4dc8-9243-9c701fbd7759,Mazda,car,MX-30,2020.0,,bev,32.0,17.8
8a5cd1a2-f84a-22b9-b397-470fe5ca5bca,Mercedes Benz,car,EQC,2020.0,11 kW-AC,bev,80.0,21.6
5335d545-cfeb-4bca-bb11-cf0966f1b5ca,Mercedes Benz,car,EQC,2019.0,"7,4 kW-AC",bev,80.0,21.6
0fad0871-8a99-6506-9c09-837f9ede132d,Mercedes Benz,car,EQA,2021.0,250,bev,66.6,17.7
6bbd3cdd-2b11-43cd-85b9-4556937f9f82,Mercedes Benz,car,EQV,2020.0,300 Long ,bev,90.0,27.3
71cc8552-391f-49b0-b106-2202fa222161,Mercedes Benz,car,B-Klasse,,,bev,28.0,16.6
1e8c0cc5-20db-491f-9242-12cf3bc7b962,Mercedes Benz,car,A 250 e,2020.0,"7,4 kW-AC + DC",phev,10.7,15.0
46240342-6f7e-4767-b66d-3234ba874a30,Mercedes Benz,car,A 250 e,2020.0,"7,4 kW-AC",phev,10.7,15.0
f45de10a-764f-4a7e-9591-b974d0b87038,Mercedes Benz,car,A 250 e,2020.0,"3,7 kW-AC",phev,10.7,15.0
b0da6660-c20e-40c3-9db7-0b19c478c6cb,Mercedes Benz,car,GLC 300 de 4MATIC,2020.0,PHEV,phev,13.5,18.2
7fe5b0f6-aa07-4900-a109-a2b04117b762,Mercedes Benz,car,C 300,2019.0,de,phev,13.5,20.0
22cd1b30-c5ec-4042-85c0-159a154c590a,Mercedes Benz,car,E 300,2019.0,e,phev,13.5,20.0
8b51a06f-676a-46aa-9074-4d3364ea1cca,Mercedes Benz,car,GLE,2020.0,350 de/e,phev,31.2,31.2
4a5d82a6-9778-41a6-8e85-1fa108897f30,Mercedes Benz,car,C 300,2019.0,e,phev,13.5,20.0
ed02b1b2-f89d-432d-9e62-4feb8fb9cf97,Mercedes Benz,car,CLA 250,2020.0,e,phev,15.6,20.0
0a853f34-7c1f-492a-ae34-937767f53cbd,Mercedes Benz,car,E 350,2016.0,e,phev,9.0,20.0
cb56eb6c-33a6-40d7-9e4b-53625fd8385c,Mercedes Benz,car,E 300,2019.0,de,phev,13.5,20.0
5ca66d3a-8a33-48f5-a0b9-d8bbf25a6e24,Mercedes Benz,car,eVito,2019.0,Tourer,bev,41.0,26.2
8cfce5f4-23b6-470a-87fa-a04095fe0334,Mini,car,Countryman ALL4,2019.0,,phev,7.6,13.2
d8c11860-a582-4784-9e58-d29e94a67fc2,Mini,car,Cooper SE,2020.0,,bev,28.9,16.1
2c7abcf4-0ba0-4feb-9e9b-b47661072feb,Mitsubishi,car,i-Miev,,,bev,14.5,12.9
1847e3aa-750c-4b12-a80a-56e792b3aadb,Mitsubishi,car,Outlander PHEV,2018.0,,phev,11.0,15.2
2644bfd3-a593-4276-bb1f-c8965e33797e,Nissan,car,e-NV 200,,"24 kWh 6,6 kW-AC",bev,24.0,20.0
86290f48-f554-4db5-bd35-4a8b7828689a,Nissan,car,e-NV 200,,24 kWh,bev,24.0,20.0
daa3573d-60ea-4c7a-8048-79c575e3db4c,Nissan,car,e-NV 200,,40 kWh,bev,38.0,20.0
78b14a0f-5c62-4885-95ef-2e3f81197260,Nissan,car,Leaf,2019.0,e+ 62 kWh,bev,62.0,17.2
77028f96-eb9b-4c65-b452-c92011b1fc1c,Nissan,car,Leaf,2018.0,40 kWh,bev,38.0,16.4
dc7d163b-29bc-45cf-8156-60eb3e3b1294,Nissan,car,Leaf,2011.0,24 kWh,bev,24.0,16.9
3b649ae3-935b-425b-b5d6-75c549b96d40,Nissan,car,Leaf,2011.0,"24 kWh 6,6 kW-AC",bev,24.0,16.9
83ec0576-bfb8-400a-9af9-483b2684673c,Nissan,car,Leaf,2015.0,30 kWh,bev,30.0,16.5
74f2c3a5-f78f-459a-823a-dfc0a21e5aeb,Nissan,car,Leaf,2015.0,"30 kWh 6,6 kW-AC",bev,30.0,16.5
1cec7821-632f-4f17-8a58-644b6ab23f44,Opel,car,Corsa-e,2020.0,"7,2 kW-AC",bev,45.0,16.4
6f96c616-e87a-4958-bbe7-b4278be00170,Opel,car,Corsa-e,2020.0,11 kW-AC,bev,45.0,16.4
557ce8e0-56c0-258e-6012-60c591df3b77,Opel,car,Mokka-e,2021.0,,bev,47.5,17.6
7bff132a-ecad-af92-99e6-9bea47805e21,Opel,car,Vivaro-e,2020.0,50 kWh,bev,50.0,21.7
c9e46cfd-6fb0-99b1-1911-d25a9d762e37,Opel,car,Vivaro-e,2020.0,75 kWh,bev,75.0,21.7
f33f0a4f-9b53-4e21-807b-f8b2ca4a24f6,Opel,car,Ampera e,2017.0,CCS,bev,60.0,17.3
7f4bf402-f8e2-47da-b456-30f1bdfce8ac,Opel,car,Ampera e-Pionier,2012.0,,bev,10.6,16.9
5655021c-128f-49cf-970e-91b133335eec,Opel,car,Zafira e-life,2021.0,Zafira-e Life 50 kWh,bev,46.0,16.4
926efa33-4c55-43df-80f3-4b8d2d65a00a,Peugeot,car,e-208,2020.0,"7,2 kW-AC",bev,45.0,16.1
04980813-ec12-1047-40ea-4c6c44b60171,Peugeot,car,E-Traveller,2020.0,50 kWh 7.4 kW-AC,bev,45.0,24.3
ca526f1f-69d7-9c32-ac5b-13333fe57e78,Peugeot,car,E-Traveller,2020.0,50 kWh 11 kW-AC,bev,45.0,24.3
de7bac96-33ed-44f2-964e-21a4878e9f00,Peugeot,car,e-208,2020.0,11 kW-AC,bev,45.0,16.1
28b61ff5-734a-412e-9241-dec4c27d1a38,Peugeot,car,I-on,,,bev,14.5,12.9
72695d36-29c4-4726-8ca8-5333fb3f9865,Peugeot,car,e-2008,2020.0,"7,2 kW-AC",bev,47.5,18.0
9d101a26-eaaa-4058-a251-5221b45ffd91,Peugeot,car,e-2008,2020.0,11 kW-AC,bev,47.5,18.0
e60a8ec6-a6dd-46ae-846a-35cb57f1d8e3,Peugeot,car,Partner,,,bev,22.5,20.5
09022e0a-c322-46e7-9171-b48fdd953cca,Peugeot,car,3008,2020.0,"HYbrid4 3,7 kW-AC",phev,11.2,15.2
7ba60564-7eda-457b-b7d5-46dd1b15cc0e,Peugeot,car,3008,2020.0,"HYbrid4 7,4 kW-AC",phev,11.2,15.2
c9025ab4-1c85-40d8-86ab-ee406de3b716,Polestar,car,2,2020.0,,bev,72.5,17.1
4c04db3b-c493-4b90-9859-21b7304a4ffc,Porsche,car,Taycan,2020.0,Turbo S,bev,83.7,22.3
34b5ef32-efea-48fc-8386-3800d0b737f0,Porsche,car,Taycan,2020.0,4S,bev,71.0,19.5
6990914a-6a0d-49d4-87f5-ee86ee33344c,Porsche,car,Taycan,2020.0,4S Plus,bev,83.7,19.7
a12f033f-f2c2-44bd-b62c-7019898a72d0,Porsche,car,Taycan,2020.0,Turbo ,bev,83.7,21.5
737441e8-6b5f-4185-9b0b-e51585ab6ea8,Renault,car,Zoe,2017.0,R 90,bev,41.0,16.1
c53b5947-23a3-420c-9798-f3846732e41a,Renault,car,Zoe,2019.0,R110 ZE40,bev,41.0,16.1
9666138c-1d24-4fa8-9083-0ffba09ab1ef,Renault,car,Zoe,2013.0,Q 210,bev,22.0,15.5
b3fd3e84-4dd4-4ac0-914f-3c3c582fc600,Renault,car,Zoe,2015.0,R 240,bev,22.0,15.5
5079c683-69ba-44b3-b8c8-d31fa00c97a1,Renault,car,Zoe,2019.0,R135 ZE50,bev,52.0,17.4
e604a056-9338-4044-93dd-5a595d4a3ef3,Renault,car,Zoe,2017.0,Q 90,bev,41.0,16.4
de3a8751-00c9-46d1-9e7a-ad830835c6a7,Renault,car,Zoe,2019.0,R110 ZE50,bev,52.0,16.5
1c13fba9-2c09-4be1-b5c6-aecd2b253afb,Renault,car,Kangoo ZE,,,bev,33.0,19.4
8f6db2f5-1dd9-46f6-bb97-eba419dbaea4,Renault,car,Twizy,,,bev,6.1,8.4
6fa12374-6162-451e-8464-5e0e73091839,Renault,car,Captur E-Tech,2020.0,PHEV,phev,9.8,17.4
46e4f46b-09d3-4beb-8649-f7a7f670bb45,Renault,car,Twingo Z.E.,2020.0,22 kWh,bev,21.3,16.3
1d05cd18-d724-c60a-e8a4-c54b33b580e6,Seat,car,Leon eHybrid,2020.0,13 kWh - 204 ch,phev,13.0,14.0
2eea1ef2-0fd1-481d-adee-68044666614e,Seat,car,Mii Electric,2020.0,CCS,bev,32.3,16.6
aa69b5e8-fc4e-40f8-8060-2c96248f62ef,Skoda,car,Enyaq iV,2020.0,82 kWh 125 kW-DC,bev,77.0,19.0
18bb40bd-321b-4326-a404-e46652538830,Skoda,car,Enyaq iV,2020.0,82 kWh 50 kW-DC,bev,77.0,19.0
4dc6b014-8612-4fa7-bb34-9ea4d7fa5220,Skoda,car,Enyaq iV,2020.0,62 kWh 50 kW-DC,bev,58.0,18.7
55ac0aaf-6bae-4a8e-ba50-4a9a7ab5b4af,Skoda,car,Enyaq iV,2020.0,62 kWh 100 kW-DC,bev,58.0,18.7
52a90ece-7261-20a4-55fc-34c11b1cdc92,Skoda,car,Octavia,2020.0,iV PHEV,phev,13.0,148.0
ffcd3116-4e17-49ff-a926-941c062643ea,Skoda,car,CITIGOe iV,2020.0,CCS,bev,32.3,16.6
41c9d96c-6a19-4db0-ba3a-931ab99c6f15,Skoda,car,Superb iV,2020.0,PHEV,phev,13.0,14.0
ff261470-8556-4051-afec-c049abd5fe6a,Skoda,car,Enyaq iV,2020.0,55 kWh,bev,52.0,18.7
